VOC,JSC,FF,PCE,NOCount_D,NumAliphaticCarbocycles_D,NumAliphaticRings_D,NumAromaticCarbocycles_D,RingCount_D,fr_C_O_D,fr_NH0_D,fr_bicyclic_D,fr_ether_D,fr_halogen_D,fr_unbrch_alkane_D,NOCount_A,NumAliphaticCarbocycles_A,NumAliphaticRings_A,NumAromaticCarbocycles_A,NumAromaticHeterocycles_A,NumHAcceptors_A,NumHeteroatoms_A,NumRotatableBonds_A,fr_Ar_N_A,fr_C_O_A,fr_NH0_A,fr_allylic_oxid_A,fr_aryl_methyl_A,fr_bicyclic_A,fr_halogen_A,fr_ketone_A,fr_nitrile_A,fr_thiophene_A,fr_unbrch_alkane_A
0.64,4.22,42,1.14,0,0,0,0,1,0,0,0,0,0,2,8,0,4,0,2,10,14,18,0,4,4,0,0,1,0,0,0,2,0
0.83,2.84,48,1.13,0,0,0,0,1,0,0,0,0,0,2,12,0,0,1,9,21,21,48,3,0,9,0,3,6,0,0,6,6,24
0.735,4.41,34.9,1.13,2,1,1,1,10,2,0,4,0,0,0,6,0,2,8,0,4,6,18,0,4,2,0,0,4,0,0,0,0,4
0.54,6.42,48,1.04,0,0,0,0,1,0,0,0,0,0,2,4,2,2,0,2,6,6,3,0,0,4,4,0,1,0,0,4,2,0
0.88,2.95,40.3,1.04,4,0,0,0,7,0,4,0,0,0,24,6,4,4,3,2,8,8,22,0,2,4,6,0,8,0,2,4,2,8
0.87,2.84,36,0.92,2,0,0,1,7,1,0,3,1,1,0,18,3,9,19,0,12,18,84,0,12,6,0,0,18,0,0,0,0,24
0.63,3.7,39,0.9,2,0,0,1,7,1,0,3,1,1,0,12,0,4,11,0,8,12,38,0,8,4,0,0,4,0,0,0,0,20
0.94,2.93,30.6,0.85,2,0,0,1,7,1,0,3,1,1,0,14,0,2,8,7,15,17,32,4,2,6,0,1,4,0,0,0,2,10
0.51,3.75,38,0.79,0,0,0,0,1,0,0,0,0,0,2,10,0,2,5,4,14,14,28,4,0,10,2,2,6,0,0,4,2,12
0.7,2.57,37,0.74,4,0,0,1,5,1,0,3,3,1,0,4,0,0,3,2,4,6,12,4,0,4,0,0,4,0,0,0,0,0
0.785,3.14,28.3,0.71,3,0,0,3,7,0,3,4,0,0,8,8,1,1,8,2,10,10,16,0,0,8,0,0,9,0,0,8,2,8
0.8,2.07,42,0.7,2,0,0,1,7,1,0,3,1,1,0,6,0,2,5,0,4,6,34,0,4,2,0,0,2,0,0,0,0,20
0.89,2.08,29,0.58,2,1,1,1,10,2,0,4,0,0,0,5,0,0,1,3,7,9,11,2,0,4,0,1,0,2,0,2,1,4
0.74,2.55,27.9,0.55,2,0,0,1,7,1,0,3,1,1,0,9,6,6,7,3,12,12,60,0,3,6,9,0,15,0,3,6,3,36
0.82,1.48,35.8,0.54,0,0,0,0,1,0,0,0,0,0,2,12,0,6,1,6,12,18,45,0,6,6,0,0,3,0,0,0,6,0
0.82,1.58,39.81,0.52,2,1,1,1,10,2,0,4,0,0,0,10,2,6,2,6,14,15,76,2,2,8,11,0,4,0,2,4,4,40
0.74,1.39,46,0.47,0,0,0,0,1,0,0,0,0,0,2,6,0,3,1,6,15,18,48,0,3,3,0,3,6,0,0,0,6,24
0.86,1.71,30,0.47,2,1,1,1,10,2,0,4,0,0,0,5,0,0,1,4,8,10,12,2,0,4,0,1,0,2,0,2,2,4
0.66,1.62,27,0.36,0,0,0,0,1,0,0,0,0,0,2,10,0,4,2,2,8,12,22,0,6,4,0,0,4,0,0,0,2,4
0.51,1.6,28,0.31,0,0,0,0,1,0,0,0,0,0,2,10,0,2,5,6,16,16,40,4,0,10,2,4,6,0,0,4,4,16
0.3,1.8,47,0.26,2,0,0,1,7,1,0,3,1,1,0,8,0,2,5,0,6,8,34,0,4,4,0,0,2,0,0,2,0,20
0.537,1.53,31.4,0.258,2,0,0,1,7,1,0,3,1,1,0,12,0,4,14,0,8,12,5,0,8,4,0,0,4,0,0,0,0,0
0.96,0.42,59.4,0.24,2,1,1,1,10,2,0,4,0,2,0,6,0,2,2,2,6,8,38,0,4,2,0,0,0,0,0,0,2,20
0.87,0.93,29.8,0.24,4,0,0,0,5,0,4,0,0,0,16,6,4,4,3,2,8,8,22,0,2,4,6,0,8,0,2,4,2,8
0.94,0.63,30.5,0.2,2,0,0,1,7,1,0,3,1,1,0,18,0,2,10,10,20,22,37,6,2,8,0,2,4,0,0,0,4,4
0.355,1.42,37.9,0.191,2,0,0,1,7,1,0,3,1,1,0,16,0,4,11,0,12,16,38,0,8,8,0,0,4,0,0,4,0,20
0.78,0.83,48.18,0.17,0,0,0,0,1,0,0,0,0,0,2,8,2,4,5,4,12,14,28,0,2,6,2,4,10,0,0,4,4,8
0.4,0.78,53,0.17,0,0,0,0,1,0,0,0,0,0,2,8,0,2,2,6,14,16,25,4,0,8,2,0,8,0,0,4,4,8
0.65,0.74,27,0.13,4,0,0,1,5,1,0,3,3,1,0,24,0,8,28,0,16,24,24,0,16,8,0,0,8,0,0,0,0,0
0.542,0.898,25.9,0.126,2,0,0,1,7,1,0,3,1,1,0,12,0,4,14,0,8,12,5,0,8,4,0,4,4,0,0,0,0,0
0.42,0.34,36,0.05,0,0,0,0,1,0,0,0,0,0,2,4,0,1,1,3,7,8,12,2,0,4,1,0,4,0,0,2,2,4
0.54,0.18,32.6,0.04,0,0,0,0,1,0,0,0,0,0,2,8,0,4,1,4,8,12,30,0,4,4,0,2,2,0,0,0,4,0
