VOC,JSC,FF,PCE,NOCount_D,NumAliphaticCarbocycles_D,NumAliphaticRings_D,NumAromaticCarbocycles_D,RingCount_D,fr_C_O_D,fr_NH0_D,fr_bicyclic_D,fr_ether_D,fr_halogen_D,fr_unbrch_alkane_D,NOCount_A,NumAliphaticCarbocycles_A,NumAliphaticRings_A,NumAromaticCarbocycles_A,NumAromaticHeterocycles_A,NumHAcceptors_A,NumHeteroatoms_A,NumRotatableBonds_A,fr_Ar_N_A,fr_C_O_A,fr_NH0_A,fr_allylic_oxid_A,fr_aryl_methyl_A,fr_bicyclic_A,fr_halogen_A,fr_ketone_A,fr_nitrile_A,fr_thiophene_A,fr_unbrch_alkane_A
0.72,23.21,69.41,11.6,2,0,0,1,7,1,0,3,1,1,0,8,4,4,7,4,12,16,42,0,2,4,6,4,8,4,2,4,4,8
0.91,16.5,74,11.6,2,1,1,1,10,2,0,4,0,2,0,20,2,2,14,10,24,28,58,6,2,10,6,0,15,4,2,4,4,12
0.951,19.23,62.9,11.55,2,1,1,1,10,2,0,4,0,2,0,6,5,5,8,4,10,14,40,0,2,4,6,4,15,4,2,4,4,16
0.857,19.44,67.4,11.5,3,0,0,2,7,0,3,3,0,2,6,6,4,4,7,6,12,16,26,0,2,4,6,4,16,4,2,4,6,8
0.86,21.34,62,11.32,2,1,1,1,10,2,0,4,0,0,0,10,4,6,7,4,14,18,28,0,2,4,6,4,10,4,2,4,4,8
0.82,20.9,65.4,11.3,2,1,1,1,10,2,0,4,0,0,0,6,4,4,6,6,12,12,26,0,2,4,6,4,15,0,2,4,6,8
0.75,20.78,72,11.28,4,0,0,0,3,2,0,0,2,0,4,6,4,4,7,4,10,14,26,0,2,4,6,4,12,4,2,4,4,8
0.919,17.3,70.4,11.2,2,1,1,1,10,2,0,4,0,0,0,18,3,7,20,2,14,18,86,2,8,6,0,0,20,0,0,0,0,24
0.96,17.1,68.2,11.2,2,1,1,1,10,2,0,4,0,2,0,6,4,4,3,3,9,9,63,0,2,4,6,0,8,0,2,4,3,48
0.78,25.5,59.3,11.2,2,0,0,1,9,0,2,3,0,0,16,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.83,19.69,68.15,11.19,8,0,0,0,9,0,6,0,0,2,24,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.87,17.54,73.23,11.14,2,1,1,1,10,2,0,4,0,2,0,10,4,4,9,6,16,16,36,4,2,8,6,4,14,0,2,4,4,16
0.844,21.31,61.6,11.07,2,1,1,1,10,2,0,4,0,2,0,12,2,2,5,7,17,21,36,4,2,8,6,4,16,4,2,4,4,20
0.9,17.03,72.1,11.05,2,1,1,1,10,2,0,4,0,0,0,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.9,21.1,58.3,11,3,0,0,2,9,0,3,3,0,2,24,10,2,2,3,7,15,15,26,4,2,8,6,0,16,0,2,4,4,0
0.81,23.7,58.3,11,6,0,2,1,11,4,2,4,0,0,24,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.685,23.4,68.9,11,2,0,0,1,7,1,0,3,1,1,0,6,4,4,6,6,12,18,26,0,2,4,6,4,15,6,2,4,6,8
0.84,21.3,61.4,11,11,2,2,3,12,2,9,16,0,4,0,11,2,2,3,7,15,19,20,5,2,9,6,0,16,4,2,4,4,0
0.72,22.74,66.2,10.91,2,0,0,1,7,1,0,3,1,1,0,6,4,4,6,6,12,14,26,0,2,4,6,4,15,2,2,4,6,8
0.93,17.7,68.4,10.9,3,0,0,2,9,0,3,3,0,2,6,6,4,4,3,4,10,10,2,0,2,4,6,0,12,0,2,4,4,0
0.8,2.58,66,10.87,2,1,1,1,10,2,0,4,0,0,0,6,4,4,6,4,10,10,26,0,2,4,6,4,11,0,2,4,4,8
0.81,20.32,66,10.86,5,0,0,4,5,1,2,1,0,0,0,10,2,2,3,7,14,18,42,4,2,8,6,2,16,4,2,4,4,18
0.903,17.56,66.8,10.8,3,0,0,2,7,0,3,3,0,2,6,6,4,4,7,6,12,14,26,0,2,4,6,4,16,2,2,4,6,8
0.93,16,71.9,10.7,2,0,0,1,7,1,0,3,1,1,0,14,1,1,4,6,18,18,28,6,0,10,0,0,5,0,0,4,0,4
0.826,19.63,65.71,10.65,2,0,0,1,7,1,0,3,1,1,0,6,4,4,6,6,12,12,26,0,2,4,6,4,15,0,2,4,6,8
